nombre,referencia,precio_mxn,unidad,tipo
AD,,1.00,Unidades,interno/sin precio
Administración Partners,,3800.00,Actividad,servicio
Animaciones 2D y 3D,,6129.54,Actividad,servicio
Aplicación de Marca,DES-01,5845.55,Actividad,servicio
Arquitectura Web,,12428.40,Actividad,servicio
Arquitectura de Marca,,6300.00,Actividad,servicio
Auditoría de Marca,,0.00,Unidades,interno/sin precio
Auditoría y Estrategia Web,,13455.00,Horas,servicio
Big Idea,,9806.40,Actividad,servicio
Brand Film,,35880.00,Horas,servicio
CMS,,0.00,Unidades,interno/sin precio
Campaign Development,,46719.90,Actividad,servicio
Campaign Rollout Toolkit,DES-02,16000.00,Actividad,servicio
Campaña - Concepto y Estrategia,,10764.00,Horas,servicio
Campaña - Producción de Video,,28704.00,Horas,servicio
Campañas Email Marketing,,8641.28,Actividad,servicio
Catering Para Producción,,150.00,Horas,interno/sin precio
Clientes - Impresión,CLI IMP,1.00,Unidades,interno/sin precio
Cobertura de Eventos,,10215.80,Actividad,servicio
Color Correction,PRO-04,3588.00,Horas,servicio
Company Slide Deck,,11691.10,Actividad,servicio
Definición de Estrategia de Marca,,18687.96,Actividad,servicio
Definición de Mensaje,,18687.96,Horas,servicio
Desarrollo Web (Landing),,31071.00,Actividad,servicio
Desarrollo Web- Configuración y Desarrollo,,12428.40,Unidad de servicio,servicio
Descuento,,0.00,Unidades,interno/sin precio
Dirección de Espacio,,14352.00,Unidad de servicio,servicio
Discovery Workshop,,16146.00,Horas,servicio
Diseño Editorial,,956.80,Horas,servicio
Diseño Hi Fi,,0.00,Unidades,interno/sin precio
Diseño Lo Fi,,0.00,Unidades,interno/sin precio
Diseño Mobil (Página - 5 secciones),,7767.75,Horas,servicio
Diseño Web,,12428.40,Actividad,servicio
Diseño Web,,7767.75,Actividad,servicio
E-Commerce / Carga de Producto,,672.75,Unidades,servicio
E-Commerce / Configuración y desarrollo,,26910.00,Actividad,servicio
E-Commerce / Copywriting y estructura de contenido,,9321.30,Actividad,servicio
E-Commerce / Diseño de Tienda,,18837.00,Actividad,servicio
Empaque,,18705.76,Actividad,servicio
Entrevistas de Alineación,,21528.00,Actividad,servicio
